student_id,program,year,semester,campus,courses
S120,BSAF,1,1,City,Arabic Language|Regulation and Financial Market|French Language|Accounting for Shariah Compliance|Statistical Inference
S121,BSAF,4,3,Main,Arabic Language|Introduction to Business Finance|Financial Institutions and Markets|History of Ideas|Regulation and Financial Market
S122,BSAF,3,1,City,Regulation and Financial Market|Statistical Inference|History of Ideas|Business Finance|Introduction to Business Finance
S123,BSAF,2,6,City,Introduction to Business Finance|Statistical Inference|Business Communication|History of Ideas|Advanced Business Research
S124,BSAF,3,6,City,Introduction to Business Finance|History of Ideas|Business Finance|Advanced Business Research|French Language
S125,BSAF,4,5,City,International Financial Management|Financial Institutions and Markets|Regulation and Financial Market|History of Ideas|French Language
S126,BSAF,4,2,Main,Financial Institutions and Markets|Regulation and Financial Market|Business Finance|International Financial Management|Advanced Business Research
S127,BSAF,3,1,Main,Regulation and Financial Market|History of Ideas|Financial Institutions and Markets|Business Communication|Introduction to Business Finance
S128,BSAF,1,2,Main,Financial Institutions and Markets|Business Finance|Regulation and Financial Market|International Financial Management|Advanced Business Research
S129,BSAF,2,4,Main,Business Finance|Regulation and Financial Market|Introduction to Business Finance|International Financial Management|History of Ideas
S130,BSAF,2,3,Main,Accounting for Shariah Compliance|Business Finance|Regulation and Financial Market|Business Communication|International Financial Management
S131,BSAF,1,8,Main,Business Communication|Accounting for Shariah Compliance|Introduction to Business Finance|French Language|Regulation and Financial Market
S132,BSAF,3,8,City,Business Communication|International Financial Management|Regulation and Financial Market|Accounting for Shariah Compliance|History of Ideas
S133,BSAF,1,3,Main,Introduction to Business Finance|History of Ideas|Business Communication|Business Finance|Regulation and Financial Market
S134,BSAF,1,5,Main,International Financial Management|Business Communication|Accounting for Shariah Compliance|Financial Institutions and Markets|Introduction to Business Finance
S135,BSAF,4,5,City,International Financial Management|Business Finance|Regulation and Financial Market|Accounting for Shariah Compliance|French Language
S136,BSAF,1,4,Main,Business Communication|Accounting for Shariah Compliance|International Financial Management|Business Finance|Introduction to Business Finance
S137,BSAF,3,2,Main,Business Finance|Regulation and Financial Market|Financial Institutions and Markets|International Financial Management|Accounting for Shariah Compliance
S138,BSAF,3,1,City,Introduction to Business Finance|International Financial Management|Business Finance|Financial Institutions and Markets|French Language
S139,BSAF,1,6,City,Introduction to Business Finance|Financial Institutions and Markets|French Language|Business Communication|Business Finance
S140,BSAF,4,1,City,Introduction to Business Finance|Financial Institutions and Markets|Business Finance|Business Communication|Regulation and Financial Market
S141,BSAF,4,2,City,Business Finance|Regulation and Financial Market|Financial Institutions and Markets|Introduction to Business Finance|Accounting for Shariah Compliance
S142,BSAF,2,8,City,Business Communication|Introduction to Business Finance|Financial Institutions and Markets|Accounting for Shariah Compliance|Business Finance
S143,BSAF,3,3,City,International Financial Management|Accounting for Shariah Compliance|Business Communication|Financial Institutions and Markets|Regulation and Financial Market
S144,BSAF,4,8,City,Business Communication|Introduction to Business Finance|Regulation and Financial Market|International Financial Management|Financial Institutions and Markets
S145,BSAF,2,6,Main,Introduction to Business Finance|Financial Institutions and Markets|Business Communication|Accounting for Shariah Compliance|International Financial Management
S146,BSAF,4,5,Main,International Financial Management|Regulation and Financial Market|Financial Institutions and Markets
S147,BSAF,4,8,City,Financial Institutions and Markets|International Financial Management|Regulation and Financial Market
S148,BSAF,4,1,City,International Financial Management|Financial Institutions and Markets|Regulation and Financial Market
S149,BSAF,4,3,Main,International Financial Management|Regulation and Financial Market|Financial Institutions and Markets
S150,BSAF,3,6,City,International Financial Management|Regulation and Financial Market|Financial Institutions and Markets
S151,BSECO,3,5,Main,Applied Econometrics|Microeconomics|Partial Differential Equations|Principles of Microeconomics|Discrete Mathematics
S152,BSECO,1,4,Main,Principles of Microeconomics|Applied Econometrics|Partial Differential Equations|Discrete Mathematics|Environmental Economics
S153,BSECO,4,7,Main,Discrete Mathematics|Environmental Economics|Partial Differential Equations|Microeconomics|Principles of Microeconomics
S154,BSECO,4,8,City,Partial Differential Equations|Environmental Economics|Microeconomics|Principles of Microeconomics|Applied Econometrics
S155,BSECO,1,1,City,Discrete Mathematics|Microeconomics|Applied Econometrics|Partial Differential Equations|Principles of Microeconomics
S156,BSECO,4,4,Main,Principles of Microeconomics|Microeconomics|Environmental Economics|Partial Differential Equations|Discrete Mathematics
S157,BSECO,3,5,City,Applied Econometrics|Principles of Microeconomics|Partial Differential Equations|Microeconomics|Discrete Mathematics
S158,BSECO,4,6,City,Environmental Economics|Discrete Mathematics|Microeconomics|Applied Econometrics|Principles of Microeconomics
S159,BSECO,4,6,City,Environmental Economics|Principles of Microeconomics|Microeconomics|Partial Differential Equations|Applied Econometrics
S160,BSECO,3,5,Main,Applied Econometrics|Discrete Mathematics|Principles of Microeconomics|Microeconomics|Environmental Economics
S161,BSECO,2,2,City,Discrete Mathematics|Microeconomics|Principles of Microeconomics|Applied Econometrics|Environmental Economics
S162,BSECO,2,2,Main,Discrete Mathematics|Microeconomics|Environmental Economics|Partial Differential Equations|Applied Econometrics
S163,BSECO,4,4,City,Principles of Microeconomics|Applied Econometrics|Microeconomics|Partial Differential Equations|Environmental Economics
S164,BSECO,1,5,Main,Applied Econometrics|Environmental Economics|Principles of Microeconomics|Discrete Mathematics|Partial Differential Equations
S165,BSECO,2,5,City,Applied Econometrics|Partial Differential Equations|Principles of Microeconomics|Microeconomics|Discrete Mathematics
S166,BSECO,3,3,Main,Partial Differential Equations|Discrete Mathematics|Microeconomics|Applied Econometrics|Environmental Economics
S167,BSECO,3,3,Main,Partial Differential Equations|Environmental Economics|Discrete Mathematics|Applied Econometrics|Microeconomics
S168,BSECO,3,1,Main,Discrete Mathematics|Partial Differential Equations|Microeconomics|Applied Econometrics|Principles of Microeconomics
S169,BSECO,1,8,Main,Applied Econometrics|Partial Differential Equations|Microeconomics|Discrete Mathematics|Environmental Economics
S170,BSECO,4,5,City,Applied Econometrics|Environmental Economics|Principles of Microeconomics|Discrete Mathematics|Microeconomics
S171,BSECO,3,8,Main,Microeconomics|Environmental Economics|Principles of Microeconomics|Discrete Mathematics|Applied Econometrics
S172,BSECO,3,1,City,Partial Differential Equations|Applied Econometrics|Environmental Economics|Microeconomics|Principles of Microeconomics
S173,BSECO,1,2,City,Partial Differential Equations|Principles of Microeconomics|Environmental Economics|Applied Econometrics
S174,BSECO,1,8,Main,Environmental Economics|Principles of Microeconomics|Partial Differential Equations|Applied Econometrics
S175,BSECO,2,3,City,Partial Differential Equations|Applied Econometrics|Environmental Economics|Principles of Microeconomics
S176,BSECO,2,2,Main,Principles of Microeconomics|Partial Differential Equations|Environmental Economics|Applied Econometrics
S177,BSECO,2,7,City,Environmental Economics|Applied Econometrics|Partial Differential Equations
S178,BSECO,4,8,City,Environmental Economics|Applied Econometrics|Partial Differential Equations
S179,BSECO,3,7,Main,Applied Econometrics|Partial Differential Equations|Environmental Economics
S180,BSECO,2,2,Main,Partial Differential Equations|Environmental Economics|Applied Econometrics
S181,BSECO,1,5,Main,Applied Econometrics|Environmental Economics|Partial Differential Equations
S182,BSECO,2,4,Main,Environmental Economics|Partial Differential Equations|Applied Econometrics
S183,BSECO,1,3,City,Partial Differential Equations|Applied Econometrics|Environmental Economics
S184,BSECO,4,8,City,Partial Differential Equations|Applied Econometrics|Environmental Economics
S185,BSECO,2,1,City,Environmental Economics|Partial Differential Equations|Applied Econometrics
S186,BSECO,4,5,Main,Applied Econometrics|Environmental Economics|Partial Differential Equations
S187,BSECO,3,4,Main,Partial Differential Equations|Applied Econometrics|Environmental Economics
S188,BSECO,1,7,Main,Environmental Economics|Partial Differential Equations|Applied Econometrics
S189,BSECO,3,3,Main,Partial Differential Equations|Applied Econometrics|Environmental Economics
S190,BSECO,1,2,Main,Environmental Economics
S191,BSECO,3,5,City,Environmental Economics
S192,BSECO,4,2,City,Environmental Economics
S193,BSECO,3,7,City,Environmental Economics
S194,BSECO,1,8,Main,Environmental Economics
S195,BSECO,3,7,City,Environmental Economics
S196,BSECO,1,1,Main,Environmental Economics
S197,BSECO,3,1,Main,Environmental Economics
S198,BSECO,4,3,City,
S199,BSECO,2,5,City,
S200,BSECO,1,8,City,
